step,stock0,stock1,stock2,stock3,stock4
1,39.545,73.943,71.211,788.959,95.243
2,22.081,69.639,60.736,701.097,58.993
3,76.737,65.524,49.203,709.996,22.953
4,84.858,61.419,38.955,634.116,56.401
5,67.640,57.587,28.415,556.080,95.307
6,52.201,53.972,17.017,480.405,130.148
7,34.346,49.712,77.565,396.669,96.716
8,18.654,45.639,67.799,448.605,133.282
9,72.617,41.929,57.951,358.913,100.374
10,55.194,107.732,47.855,405.899,63.806
11,38.518,104.082,36.615,325.099,162.913
12,21.397,100.001,26.300,236.398,127.432
13,73.406,95.680,14.824,147.450,94.892
14,55.927,91.513,73.404,187.623,57.811
15,40.745,87.575,63.952,240.227,94.392
16,25.351,83.807,53.177,282.451,128.877
17,8.808,79.984,42.575,191.540,93.884
18,61.035,75.930,32.108,245.387,60.445
19,44.982,72.000,20.841,289.243,95.026
20,26.841,68.388,80.778,334.699,59.769
21,10.599,64.135,69.329,242.556,23.794
22,65.376,59.968,59.781,151.833,117.366
23,49.646,56.165,48.416,273.738,80.738
24,34.219,51.873,38.690,386.630,44.694
25,82.417,47.877,28.210,301.214,140.337
26,65.955,174.223,18.489,290.001,104.773
27,49.664,170.304,78.751,328.088,68.114
28,33.140,166.423,67.428,315.458,164.019
29,17.830,162.205,56.439,307.992,131.374
30,72.860,158.464,45.202,358.635,100.730
